Date,provincename,Construction,Transportation,Agriculture,Population,Station Name,Max Temp (°C),Total Snow (cm),Total Precip (mm),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Longitude (x),Latitude (y)
01-01-2001,Alberta,12.44663292,14.51910623,12.725962,7851,Banff,-0.1,1.5,0,-6.8,-3.5,21.5,0,-115.55,51.19
01-02-2001,Alberta,12.29938624,15.46851945,13.26445479,7851,Banff,3.5,1.428571429,0,-4.6,-0.6,18.6,0,-115.55,51.19
01-03-2001,Alberta,12.52403676,15.31766456,13.17944669,7851,Banff,2.7,1.25,0,-3.1,-0.2,18.2,0,-115.55,51.19
01-04-2001,Alberta,12.25007626,14.67229079,13.812045,7851,Banff,5.9,1.444444444,5,-3,1.5,16.5,0,-115.55,51.19
01-05-2001,Alberta,12.47381972,14.72411668,13.61547095,7851,Banff,7.6,1.3,1.6,-2.8,2.4,15.6,0,-115.55,51.19
01-06-2001,Alberta,12.69950982,14.05434608,13.55175982,7851,Banff,23.6,1.2,2.4,2.4,13,5,0,-115.55,51.19
01-07-2001,Alberta,13.26312846,14.17614953,13.57787999,7851,Banff,23.4,1.263636364,1,8.2,15.8,2.2,0,-115.55,51.19
01-08-2001,Alberta,12.60901532,15.14016325,13.78884286,7851,Banff,21.2,1.263636364,0,4.9,13.1,4.9,0,-115.55,51.19
01-09-2001,Alberta,12.0277683,14.26174252,13.54550221,7851,Banff,20.4,1.263636364,3,6.4,13.4,4.6,0,-115.55,51.19
01-10-2001,Alberta,12.30991642,13.70112458,14.02920074,7851,Banff,17.4,0.809090909,0,-5,6.2,11.8,0,-115.55,51.19
01-11-2001,Alberta,13.28804492,14.55101191,13.97191158,7851,Banff,5.2,1.572727273,0.2,-0.5,2.4,15.6,0,-115.55,51.19
01-12-2001,Alberta,12.79346262,14.47564228,13.55551054,7851,Banff,-0.8,1.354545455,0.7,-13.2,-7,25,0,-115.55,51.19
01-01-2002,Alberta,13.191619,13.7266704,13.36478869,7851,Banff,-7.6,1.263636364,0,-19.1,-13.4,31.4,0,-115.55,51.19
01-02-2002,Alberta,12.8429636,14.96105513,13.54875865,7851,Banff,-2.8,1.263636364,0,-15.3,-9.1,27.1,0,-115.55,51.19
01-03-2002,Alberta,12.75666341,14.80543439,13.13058523,7851,Banff,-3.4,0.990909091,0,-23.6,-13.5,31.5,0,-115.55,51.19
01-04-2002,Alberta,12.62472375,14.42565588,13.24361339,7851,Banff,-4.9,1.590909091,10,-13.6,-9.3,27.3,0,-115.55,51.19
01-05-2002,Alberta,13.28702728,14.84321021,12.75287689,7851,Banff,14.5,1.636363636,0,-3.8,5.4,12.6,0,-115.55,51.19
01-06-2002,Alberta,14.03108844,15.06026869,12.07534844,7851,Banff,14.1,1.572727273,0,3.2,8.7,9.3,0,-115.55,51.19
01-07-2002,Alberta,15.46022851,15.38813051,12.69827891,7851,Banff,14.5,1.572727273,0,6.9,10.7,7.3,0,-115.55,51.19
01-08-2002,Alberta,13.77906615,15.15150726,12.25329002,7851,Banff,11.4,1.572727273,0,4.1,7.8,10.2,0,-115.55,51.19
01-09-2002,Alberta,13.26384587,15.15441213,12.38735674,7851,Banff,15.9,1.572727273,6.6,8.4,12.2,5.8,0,-115.55,51.19
01-10-2002,Alberta,13.44968599,15.3675514,12.88663025,7851,Banff,7.7,0.663636364,0.7,-1.9,2.9,15.1,0,-115.55,51.19
01-11-2002,Alberta,13.63140417,14.96555799,13.66133152,7851,Banff,6.6,0.663636364,0,-11.7,-2.6,20.6,0,-115.55,51.19
01-12-2002,Alberta,13.58100025,14.84514724,13.90195659,7851,Banff,4.5,0.663636364,0,-4.4,0.1,17.9,0,-115.55,51.19
01-01-2003,Alberta,13.00976169,15.91854085,13.457029,7851,Banff,-0.6,0.981818182,0,-13.2,-6.9,24.9,0,-115.55,51.19
01-02-2003,Alberta,13.17251938,15.61984033,13.82127179,7851,Banff,3.2,0.981818182,0,-5.2,-1,19,0,-115.55,51.19
01-03-2003,Alberta,12.78340305,15.80659149,13.89520666,7851,Banff,0.3,0.381818182,0,-11.4,-5.6,23.6,0,-115.55,51.19
01-04-2003,Alberta,13.40658365,14.98887321,13.28496677,7851,Banff,7.7,0.318181818,0,-6,0.9,17.1,0,-115.55,51.19
