Date,provincename,Construction,Transportation,Agriculture,Population,Station Name,Max Temp (°C),Total Snow (cm),Total Precip (mm),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Longitude (x),Latitude (y)
2001-01-01,British Columbia,0.620980697,2.602185902,13.12921314,1779,Burns Lake,1.6,1.922222222,1.533333333,-5.2,-1.8,19.8,0,-125.96,54.38
2001-02-01,British Columbia,0.62785074,2.531522804,13.97776201,1779,Burns Lake,2.6,1.819047619,1.533333333,-0.6,1,17,0,-125.96,54.38
2001-03-01,British Columbia,0.67710216,2.776050545,13.31230202,1779,Burns Lake,4.5,1.916666667,1.533333333,-8.6,-2.1,20.1,0,-125.96,54.38
2001-04-01,British Columbia,0.628551883,2.469057552,12.24278859,1779,Burns Lake,6.9,1.703703704,1.533333333,-10.2,-1.7,19.7,0,-125.96,54.38
2001-05-01,British Columbia,0.67820041,2.402160766,13.2945178,1779,Burns Lake,13.4,1.533333333,0,0.5,7,11,0,-125.96,54.38
2001-06-01,British Columbia,0.683321794,2.352169536,12.89491547,1779,Burns Lake,13.7,1.477575758,5.4,4.7,9.2,8.8,0,-125.96,54.38
2001-07-01,British Columbia,0.794866683,2.448851198,12.54762813,1779,Burns Lake,19.5,1.414214876,1.2,7.8,13.7,4.3,0,-125.96,54.38
2001-08-01,British Columbia,0.676262158,2.383146582,12.56056999,1779,Burns Lake,22.7,1.355123967,2.6,-5.11875,0.775,17.225,0,-125.96,54.38
2001-09-01,British Columbia,0.672938013,2.413365007,13.86193246,1779,Burns Lake,15.2,1.296033058,0,4.5,9.9,8.1,0,-125.96,54.38
2001-10-01,British Columbia,0.663636839,2.370536309,12.29582106,1779,Burns Lake,12.4,1.236942149,0,-4.6,3.9,14.1,0,-125.96,54.38
2001-11-01,British Columbia,0.691408235,2.553721285,12.21145648,1779,Burns Lake,8.1,1.324545455,0.92,-1,3.6,14.4,0,-125.96,54.38
2001-12-01,British Columbia,0.636606973,2.296599698,11.77557297,1779,Burns Lake,-9.4,0.833636364,0.836363636,-23.5,-16.5,34.5,0,-125.96,54.38
2002-01-01,British Columbia,0.682695534,2.585458576,11.35774383,1779,Burns Lake,-5.4,0.724545455,0.883333333,-7.7,-6.6,24.6,0,-125.96,54.38
2002-02-01,British Columbia,0.68011227,2.49414568,10.51728742,1779,Burns Lake,-1.8,0.488181818,0.883333333,-14.5,-8.2,26.2,0,-125.96,54.38
2002-03-01,British Columbia,0.66829301,2.372648405,11.81193409,1779,Burns Lake,5.1,0.488181818,0.883333333,-9.3,-2.1,20.1,0,-125.96,54.38
2002-04-01,British Columbia,0.690605322,2.518920845,11.01641832,1779,Burns Lake,-1.8,0.488181818,0.963636364,-11.1,-6.5,24.5,0,-125.96,54.38
2002-05-01,British Columbia,0.716879158,2.577699657,11.37778361,1779,Burns Lake,22.3,0.531818182,0,-3.1,9.6,8.4,0,-125.96,54.38
2002-06-01,British Columbia,0.738909771,2.490178661,11.21503173,1779,Burns Lake,16.5,0.700330579,0,-0.5,8,10,0,-125.96,54.38
2002-07-01,British Columbia,0.826609199,2.536724689,12.01230461,1779,Burns Lake,14.9,0.842341598,0,4.6,9.8,8.2,0,-125.96,54.38
2002-08-01,British Columbia,0.797921989,2.494266015,13.37381866,1779,Burns Lake,15.8,0.965826446,0,4.5,10.2,7.8,0,-125.96,54.38
2002-09-01,British Columbia,0.680730251,2.632291611,13.94800573,1779,Burns Lake,16.5,1.089311295,0,6.8,11.7,6.3,0,-125.96,54.38
2002-10-01,British Columbia,0.7453176,2.523067902,13.03882168,1779,Burns Lake,11.2,1.205495868,1.4,-4.6,3.3,14.7,0,-125.96,54.38
2002-11-01,British Columbia,0.68362947,2.354770856,12.72873932,1779,Burns Lake,-3.3,1.427809917,2.69,-5,-4.2,22.2,0,-125.96,54.38
2002-12-01,British Columbia,0.671176953,2.422124514,12.76790654,1779,Burns Lake,-1.6,1.473264463,2.445454545,-3.5,-2.6,20.6,0,-125.96,54.38
2003-01-01,British Columbia,0.750513223,2.353311341,11.84230201,1779,Burns Lake,1.9,1.473264463,2.241666667,-9.2,-3.7,21.7,0,-125.96,54.38
2003-02-01,British Columbia,0.778414754,2.421224137,12.16493704,1779,Burns Lake,1.8,2.727809917,2.241666667,-6.7,-2.5,20.5,0,-125.96,54.38
2003-03-01,British Columbia,0.834974155,2.672258301,12.8732649,1779,Burns Lake,2.3,3.745991736,2.241666667,-9.1,-3.4,21.4,0,-125.96,54.38
2003-04-01,British Columbia,0.690053006,2.508871472,11.27105315,1779,Burns Lake,4,3.618719008,2.445454545,-8,-2,20,0,-125.96,54.38
