Date,provincename,Construction,Transportation,Agriculture,Population,Station Name,Max Temp (Â°C),Total Snow (cm),Total Precip (mm),Min Temp (Â°C),Mean Temp (Â°C),Heat Deg Days (Â°C),Cool Deg Days (Â°C),Longitude (x),Latitude (y)
2013-01-01,Ontario,7.189140139,3.318969435,9.898425654,2753,Atikon,-12.4,1.182467532,0.3,-28.8,-20.6,38.6,0,-91.63,48.76
2013-02-01,Ontario,6.983955416,3.27949565,10.57097239,2753,Atikon,-21.3,1.164285714,0.5,-34.2,-27.8,45.8,0,-91.63,48.76
2013-03-01,Ontario,7.171887979,3.387444242,9.882637472,2753,Atikon,-5,2.10974026,0,-23,-14,32,0,-91.63,48.76
2013-04-01,Ontario,7.183822963,3.423812068,10.69365745,2753,Atikon,-1.7,2.127922078,0,-14.6,-8.2,26.2,0,-91.63,48.76
2013-05-01,Ontario,7.21329701,3.347056363,11.23665711,2753,Atikon,6.2,1.963636364,0,-1.5,2.4,15.6,0,-91.63,48.76
2013-06-01,Ontario,7.187525856,3.382256791,10.47204759,2753,Atikon,9.5,1.827272727,5.3,4.6,7,11,0,-91.63,48.76
2013-07-01,Ontario,7.086583972,3.114357414,12.14184012,2753,Atikon,26.5,1.881818182,0,9.3,17.9,0.1,0,-91.63,48.76
2013-08-01,Ontario,7.792684739,3.308806795,11.27417581,2753,Atikon,20.3,2.081818182,13.6,10,15.2,2.8,0,-91.63,48.76
2013-09-01,Ontario,7.472771997,3.337376037,11.38230897,2753,Atikon,17.1,2.390909091,0.2,8.9,13,5,0,-91.63,48.76
2013-10-01,Ontario,7.485230526,3.390839397,11.20273599,2753,Atikon,19.2,2.490909091,0,10.5,14.9,3.1,0,-91.63,48.76
2013-11-01,Ontario,7.805318322,3.390693697,10.99286758,2753,Atikon,7.5,4.190909091,0.2,-3,2.3,15.7,0,-91.63,48.76
2013-12-01,Ontario,7.244464901,3.395377881,10.19583658,2753,Atikon,-4.1,3.727272727,0.9,-6.1,-5.1,23.1,0,-91.63,48.76
2014-01-01,Ontario,7.10709496,3.679634532,10.01961814,2753,Atikon,-24,4.6,2.7,-40.2,-32.1,50.1,0,-91.63,48.76
2014-02-01,Ontario,7.15928971,3.639742335,9.482365621,2753,Atikon,-12.6,3.427272727,3.4,-29.4,-21,39,0,-91.63,48.76
2014-03-01,Ontario,6.987487008,3.586403556,10.67998453,2753,Atikon,-22.6,3.409090909,1.1,-40.4,-31.5,49.5,0,-91.63,48.76
2014-04-01,Ontario,7.171121971,3.491793418,11.15693113,2753,Atikon,-7.9,3.454545455,18.7,-21.6,-14.8,32.8,0,-91.63,48.76
2014-05-01,Ontario,7.471693493,3.642174902,10.80318963,2753,Atikon,5.1,3.554545455,0.2,0.8,3,15,0,-91.63,48.76
2014-06-01,Ontario,7.576283976,3.626696404,10.87877929,2753,Atikon,19.8,3.509090909,9.6,15.8,17.8,0.2,0,-91.63,48.76
2014-07-01,Ontario,7.664786603,3.611580992,10.43347656,2753,Atikon,16.7,3.281818182,0.7,10.1,13.4,4.6,0,-91.63,48.76
2014-08-01,Ontario,7.832099062,3.620248736,10.08552834,2753,Atikon,24.8,3.009090909,0,8,16.4,1.6,0,-91.63,48.76
2014-09-01,Ontario,7.843613221,3.434607118,10.18264263,2753,Atikon,20.6,2.927272727,0.5,9.5,15.1,2.9,0,-91.63,48.76
2014-10-01,Ontario,7.872963837,3.42145834,11.20843004,2753,Atikon,11.4,1.227272727,1.3,4.5,8,10,0,-91.63,48.76
2014-11-01,Ontario,7.788992803,3.48499541,11.41403843,2753,Atikon,2.4,1.245454545,0.4,-9.7,-3.7,21.7,0,-91.63,48.76
2014-12-01,Ontario,7.332801032,3.479016701,10.88421343,2753,Atikon,-16.2,0.372727273,0.2,-24.6,-20.4,38.4,0,-91.63,48.76
2015-01-01,Ontario,7.963370756,3.568275264,9.005106104,2753,Atikon,-8.8,0.309090909,0.4,-24.9,-16.9,34.9,0,-91.63,48.76
2015-02-01,Ontario,7.734479039,3.576075979,9.643395245,2753,Atikon,-17.1,0.309090909,0.2,-35.6,-26.4,44.4,0,-91.63,48.76
2015-03-01,Ontario,7.937785885,3.710399557,9.775499423,2753,Atikon,-6.9,0.345454545,0,-12.8,-9.9,27.9,0,-91.63,48.76
2015-04-01,Ontario,7.874084613,3.540156308,10.150182,2753,Atikon,10.5,0.281818182,0.4,-3.9,3.3,14.7,0,-91.63,48.76
2015-05-01,Ontario,8.006110641,3.639843127,10.84573532,2753,Atikon,20.2,0.290909091,0,2.8,11.5,6.5,0,-91.63,48.76
2015-06-01,Ontario,8.260920679,3.683740153,11.42885318,2753,Atikon,20.8,0.4,0,-1.4,9.7,8.3,0,-91.63,48.76
2015-07-01,Ontario,8.105990351,3.583286919,10.84695531,2753,Atikon,22.9,1.3,0,7,15,3,0,-91.63,48.76
2015-08-01,Ontario,8.233267795,3.760555394,11.86923972,2753,Atikon,24.4,1.281818182,0.9,11,17.7,0.3,0,-91.63,48.76
2015-09-01,Ontario,8.194427146,3.785136462,11.82026322,2753,Atikon,26,1.3,0.6,11.9,19,0,1,-91.63,48.76
2015-10-01,Ontario,8.043617829,3.725096421,10.80859519,2753,Atikon,15.8,1.318181818,0.5,0.6,8.2,9.8,0,-91.63,48.76
2015-11-01,Ontario,8.517095512,3.902716997,11.12730216,2753,Atikon,8.2,1.336363636,1.4,0.8,4.5,13.5,0,-91.63,48.76
2015-12-01,Ontario,8.157919239,3.788449057,10.46354762,2753,Atikon,1.6,1.336363636,10.3,-1.5,0.1,17.9,0,-91.63,48.76
2016-01-01,Ontario,8.158333095,3.798323492,10.56716677,2753,Atikon,-6.7,1.627272727,0,-10.3,-8.5,26.5,0,-91.63,48.76
2016-02-01,Ontario,8.117430348,3.696853498,10.41637796,2753,Atikon,-5,1.545454545,0.2,-19.4,-12.2,30.2,0,-91.63,48.76
2016-03-01,Ontario,8.078572496,3.900602106,11.50094427,2753,Atikon,-8.8,1.518181818,0.6,-29,-18.9,36.9,0,-91.63,48.76
2016-04-01,Ontario,7.857662629,3.812724067,9.937062293,2753,Atikon,0,1.472727273,0.2,-8.1,-4.1,22.1,0,-91.63,48.76
2016-05-01,Ontario,8.289305177,3.741348413,11.09498615,2753,Atikon,15.3,1.345454545,0,-2.9,6.2,11.8,0,-91.63,48.76
2016-06-01,Ontario,8.041853187,3.667424613,10.42222195,2753,Atikon,19.1,0.545454545,3.2,8.9,14,4,0,-91.63,48.76
2016-07-01,Ontario,7.8442889,3.676467152,11.64626976,2753,Atikon,22.5,0.545454545,0,4.8,13.7,4.3,0,-91.63,48.76
2016-08-01,Ontario,7.974863504,3.831463298,10.18610346,2753,Atikon,28.3,0.563636364,0.3,14.4,21.4,0,3.4,-91.63,48.76
2016-09-01,Ontario,8.030966134,3.860464981,10.57284257,2753,Atikon,19.5,0.509090909,0,5.7,12.6,5.4,0,-91.63,48.76
2016-10-01,Ontario,8.315938619,3.86751913,11.68288888,2753,Atikon,21.4,0.490909091,0,2,11.7,6.3,0,-91.63,48.76
2016-11-01,Ontario,8.312641192,3.802050993,10.59564248,2753,Atikon,11.7,0.490909091,1.5,-1.2,5.3,12.7,0,-91.63,48.76
2016-12-01,Ontario,8.486824739,3.730612648,11.10798996,2753,Atikon,-1.7,0.490909091,0,-5.1,-3.4,21.4,0,-91.63,48.76
2017-01-01,Ontario,8.32281856,3.860678223,11.21738669,2753,Atikon,-8.5,0.490909091,0.4,-23.6,-16.1,34.1,0,-91.63,48.76
2017-02-01,Ontario,8.18031472,3.763759511,11.19355679,2753,Atikon,-13.4,1.2,0,-20.1,-16.8,34.8,0,-91.63,48.76
2017-03-01,Ontario,8.154498605,3.754598159,11.16815161,2753,Atikon,-3.2,1.481818182,0,-18.3,-10.8,28.8,0,-91.63,48.76
2017-04-01,Ontario,8.042737043,3.984809787,11.20851694,2753,Atikon,9.2,1.927272727,0,-1.7,3.8,14.2,0,-91.63,48.76
2017-05-01,Ontario,8.360502871,3.965713078,11.85929887,2753,Atikon,6.7,1.854545455,3.2,-2.1,2.3,15.7,0,-91.63,48.76
2017-06-01,Ontario,8.399352591,3.938928854,10.86260057,2753,Atikon,24.4,2.7,0,2.6,13.5,4.5,0,-91.63,48.76
2017-07-01,Ontario,8.04188493,3.958366192,10.62374627,2753,Atikon,20,2.663636364,8.1,10.7,15.4,2.6,0,-91.63,48.76
2017-08-01,Ontario,8.332698535,4.076490346,11.05271163,2753,Atikon,25.9,2.663636364,3.1,15.4,20.7,0,2.7,-91.63,48.76
2017-09-01,Ontario,8.592659869,3.994034339,11.43831425,2753,Atikon,20.9,2.663636364,4.9,6.8,13.9,4.1,0,-91.63,48.76
2017-10-01,Ontario,8.577621413,4.096405664,10.30361888,2753,Atikon,16.1,2.663636364,0.7,11.9,14,4,0,-91.63,48.76
2017-11-01,Ontario,8.543329862,3.940091636,10.48860797,2753,Atikon,0.7,2.609090909,9.3,-8.5,-2.7,20.7,0,-91.63,48.76
2017-12-01,Ontario,8.586805307,4.004301328,9.612795667,2753,Atikon,3.8,3.036363636,0,-4.5,-0.4,18.4,0,-91.63,48.76
2018-01-01,Ontario,8.712675232,3.86647602,9.899729586,2753,Atikon,-18.4,2.3,0,-28.6,-23.5,41.5,0,-91.63,48.76
2018-02-01,Ontario,9.010221901,3.924670816,10.69245875,2753,Atikon,-17,2.945454545,0,-28.2,-22.6,40.6,0,-91.63,48.76
2018-03-01,Ontario,9.04987653,3.995384569,11.38717082,2753,Atikon,4.8,2.5,0,-14,-4.6,22.6,0,-91.63,48.76
2018-04-01,Ontario,8.99891936,3.972536876,11.10705314,2753,Atikon,-2.3,2.436363636,2.6,-15.5,-8.9,26.9,0,-91.63,48.76
2018-05-01,Ontario,9.132617656,3.917573329,11.29838725,2753,Atikon,13,1.590909091,4.7,3.1,8.1,9.9,0,-91.63,48.76
2018-06-01,Ontario,9.311887053,3.994478136,12.00796411,2753,Atikon,13.8,1.590909091,0,5.4,9.6,8.4,0,-91.63,48.76
2018-07-01,Ontario,8.988504023,4.155926558,12.77321547,2753,Atikon,20.5,1.590909091,10.2,12,16.3,1.7,0,-91.63,48.76
2018-08-01,Ontario,9.100235195,3.990895434,11.68374654,2753,Atikon,14,1.590909091,0,9.3,11.6,6.4,0,-91.63,48.76
2018-09-01,Ontario,9.037661011,4.006015517,11.05939374,2753,Atikon,27.3,1.709090909,0,7.8,17.6,0.4,0,-91.63,48.76
2018-10-01,Ontario,9.079827644,4.047935387,10.96355353,2753,Atikon,7.9,1.472727273,0,-3.5,2.2,15.8,0,-91.63,48.76
2018-11-01,Ontario,8.330443358,3.89428687,9.701400866,2753,Atikon,1.7,1.045454545,0,-2.6,-0.4,18.4,0,-91.63,48.76
2018-12-01,Ontario,8.668744106,4.16071926,9.79644284,2753,Atikon,-4.8,1.154545455,0,-6.1,-5.4,23.4,0,-91.63,48.76
2019-01-01,Ontario,8.520607479,3.930878144,10.48722268,2753,Atikon,-19.3,0.227272727,0,-34.3,-26.8,44.8,0,-91.63,48.76
2019-02-01,Ontario,9.005600952,3.937267319,9.994680346,2753,Atikon,-10.8,0.227272727,1.3,-34.7,-22.7,40.7,0,-91.63,48.76
