Date,provincename,Construction,Transportation and warehousing,Agriculture ,Population,Station Name,Max Temp (°C),Total Snow (cm),Total Precip (mm),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Longitude (x),Latitude (y)
2013-01-01,Prince Edward Island,57.55073438,32.61372604,15.6717476,36094,Charlottetown,-4.1,1.2666666666666666,0.4,-13.2,-8.7,26.7,0,-63.12,46.29
2013-02-01,Prince Edward Island,57.53664232,29.37829019,17.93085297,36094,Charlottetown,-8.4,1.0857142857142856,0,-20.5,-14.5,32.5,0,-63.12,46.29
2013-03-01,Prince Edward Island,64.04221519,28.44504712,18.70011417,36094,Charlottetown,-0.6,0.95,3.2,-3,-1.8,19.8,0,-63.12,46.29
2013-04-01,Prince Edward Island,71.88032768,26.9408555,16.95007105,36094,Charlottetown,5,1.1111111111111112,1,-2.3,1.4,16.6,0,-63.12,46.29
2013-05-01,Prince Edward Island,63.23015651,28.74591064,13.95059633,36094,Charlottetown,15.3,1,0,1.1,8.2,9.8,0,-63.12,46.29
2013-06-01,Prince Edward Island,57.63355054,32.81196589,14.41521286,36094,Charlottetown,18.8,2.327272727272728,3,7.3,13.1,4.9,0,-63.12,46.29
2013-07-01,Prince Edward Island,57.17309623,32.54146993,11.4988545,36094,Charlottetown,24.5,2.763636363636364,0,15,19.8,0,1.8,-63.12,46.29
2013-08-01,Prince Edward Island,58.23753965,35.2052557,11.73406403,36094,Charlottetown,26.8,2.763636363636364,0,16.2,21.5,0,3.5,-63.12,46.29
2013-09-01,Prince Edward Island,58.36919433,34.7707109,12.55064783,36094,Charlottetown,21.7,2.4727272727272727,2.4,16.1,18.9,0,0.9,-63.12,46.29
2013-10-01,Prince Edward Island,55.23754403,33.61181456,13.14552118,36094,Charlottetown,21.2,2.436363636363636,0,8.9,15.1,2.9,0,-63.12,46.29
2013-11-01,Prince Edward Island,58.13246714,39.41959151,12.31184913,36094,Charlottetown,18.5,4.363636363636363,15.6,10.2,14.4,3.6,0,-63.12,46.29
2013-12-01,Prince Edward Island,53.80287317,33.17309319,15.94755864,36094,Charlottetown,1.2,5.727272727272728,5.2,-6,-2.4,20.4,0,-63.12,46.29
2014-01-01,Prince Edward Island,44.87635137,30.31146576,17.51077545,36094,Charlottetown,-14.8,5.727272727272728,0,-20.3,-17.6,35.6,0,-63.12,46.29
2014-02-01,Prince Edward Island,55.48662017,31.13455662,17.79982023,36094,Charlottetown,-1.3,5.727272727272728,0,-8,-4.7,22.7,0,-63.12,46.29
2014-03-01,Prince Edward Island,50.28198267,29.86420912,14.98242199,36094,Charlottetown,-4,5.509090909090909,0.6,-16.7,-10.4,28.4,0,-63.12,46.29
2014-04-01,Prince Edward Island,51.43927183,36.65372184,14.93986914,36094,Charlottetown,-2.4,5.672727272727273,21.2,-3.5,-3,21,0,-63.12,46.29
2014-05-01,Prince Edward Island,49.16813787,35.27969887,14.37921914,36094,Charlottetown,9.5,4.254545454545454,18,-0.7,4.4,13.6,0,-63.12,46.29
2014-06-01,Prince Edward Island,44.76167662,36.07607953,15.12254007,36094,Charlottetown,19,4.745454545454546,0,3.5,11.3,6.7,0,-63.12,46.29
2014-07-01,Prince Edward Island,45.43409856,34.47838004,13.66358497,36094,Charlottetown,28.3,4.745454545454546,0,17.1,22.7,0,4.7,-63.12,46.29
2014-08-01,Prince Edward Island,47.98182811,35.46227617,12.85071402,36094,Charlottetown,25.9,4.763636363636364,0,15.6,20.8,0,2.8,-63.12,46.29
2014-09-01,Prince Edward Island,48.37241939,30.08523686,13.59781547,36094,Charlottetown,21,4.9818181818181815,1.8,15.4,18.2,0,0.2,-63.12,46.29
2014-10-01,Prince Edward Island,50.58109978,37.1621736,13.40704619,36094,Charlottetown,12.6,3.090909090909091,0,4.8,8.7,9.3,0,-63.12,46.29
2014-11-01,Prince Edward Island,49.54922226,36.22925604,15.15574248,36094,Charlottetown,6.7,1.4545454545454546,10.6,2.3,4.5,13.5,0,-63.12,46.29
2014-12-01,Prince Edward Island,46.5289331,37.72740387,11.01539002,36094,Charlottetown,11.8,1.4545454545454546,0,-1.9,5,13,0,-63.12,46.29
2015-01-01,Prince Edward Island,50.94949399,38.77013208,13.53783238,36094,Charlottetown,-3.5,1.4545454545454546,0.2,-15,-9.3,27.3,0,-63.12,46.29
2015-02-01,Prince Edward Island,50.98324807,42.05892064,9.75938617,36094,Charlottetown,-5,1.4545454545454546,3,-20,-12.5,30.5,0,-63.12,46.29
2015-03-01,Prince Edward Island,42.45591699,42.95410015,11.46591033,36094,Charlottetown,-4.6,1.2909090909090908,0.4,-13.6,-9.1,27.1,0,-63.12,46.29
2015-04-01,Prince Edward Island,51.55115256,44.21121702,11.04076814,36094,Charlottetown,-0.8,1.2909090909090908,0,-7,-3.9,21.9,0,-63.12,46.29
2015-05-01,Prince Edward Island,45.58057701,35.41920717,14.0714978,36094,Charlottetown,5.8,2.2181818181818183,0,-1.1,2.4,15.6,0,-63.12,46.29
2015-06-01,Prince Edward Island,47.30027772,34.14890533,15.84122174,36094,Charlottetown,12.1,2.727272727272727,0,3.6,7.9,10.1,0,-63.12,46.29
2015-07-01,Prince Edward Island,45.72496575,29.73471805,15.95057715,36094,Charlottetown,25,2.709090909090909,0,14,19.5,0,1.5,-63.12,46.29
2015-08-01,Prince Edward Island,47.03717852,29.71120561,16.29112029,36094,Charlottetown,27.2,2.472727272727273,0,16.3,21.8,0,3.8,-63.12,46.29
2015-09-01,Prince Edward Island,50.63570987,31.02229984,17.75717498,36094,Charlottetown,16.3,2.4363636363636365,0,7.5,11.9,6.1,0,-63.12,46.29
2015-10-01,Prince Edward Island,49.85059048,32.40124258,16.12042483,36094,Charlottetown,20.4,2.4545454545454546,20.8,8.7,14.6,3.4,0,-63.12,46.29
2015-11-01,Prince Edward Island,42.03098282,31.20018423,18.45836161,36094,Charlottetown,10.4,2.709090909090909,5.6,1.8,6.1,11.9,0,-63.12,46.29
2015-12-01,Prince Edward Island,45.49386511,37.64421356,17.21526994,36094,Charlottetown,1,2.709090909090909,0,-6.1,-2.6,20.6,0,-63.12,46.29
2016-01-01,Prince Edward Island,53.2592157,43.7122937,12.843744,36094,Charlottetown,-0.2,2.7454545454545456,0.4,-6,-3.1,21.1,0,-63.12,46.29
2016-02-01,Prince Edward Island,58.98889293,43.26073855,14.10098718,36094,Charlottetown,8,2.7454545454545456,0,0.3,4.2,13.8,0,-63.12,46.29
2016-03-01,Prince Edward Island,49.58452356,39.80243724,15.35141849,36094,Charlottetown,4.9,2.7454545454545456,0.2,-8.3,-1.7,19.7,0,-63.12,46.29
2016-04-01,Prince Edward Island,47.0132411,37.23190125,13.01442677,36094,Charlottetown,13.4,2.4545454545454546,2.8,6.4,9.9,8.1,0,-63.12,46.29
2016-05-01,Prince Edward Island,57.17051016,32.18936277,16.21067651,36094,Charlottetown,13.2,1.945454545454545,0,-4.5,4.4,13.6,0,-63.12,46.29
2016-06-01,Prince Edward Island,51.74349802,35.60556646,15.48615061,36094,Charlottetown,9.8,2.018181818181818,0.4,-0.1,4.9,13.1,0,-63.12,46.29
2016-07-01,Prince Edward Island,49.03030439,35.58722361,17.01400342,36094,Charlottetown,27.9,3.872727272727273,0,15.2,21.6,0,3.6,-63.12,46.29
2016-08-01,Prince Edward Island,49.81110492,35.71952989,15.17075516,36094,Charlottetown,24.9,4.527272727272727,0,10.2,17.6,0.4,0,-63.12,46.29
2016-09-01,Prince Edward Island,51.06924202,34.49379434,16.85903242,36094,Charlottetown,22,4.563636363636364,17.6,16.4,19.2,0,1.2,-63.12,46.29
2016-10-01,Prince Edward Island,53.95368769,34.49981258,16.55247167,36094,Charlottetown,18.9,4.472727272727273,0,6.8,12.9,5.1,0,-63.12,46.29
2016-11-01,Prince Edward Island,57.33171678,34.251949,12.90935181,36094,Charlottetown,7.5,4.472727272727273,0.8,5.6,6.6,11.4,0,-63.12,46.29
